Using GPU 2
Start training: lr 0.010000, batch size 10
Checkpoint: ../checkpoints/
[10/41] 11500), Loss: 0.080, mAP 92.17%
[10/41] 11600), Loss: 0.090, mAP 92.44%
[10/41] 11700), Loss: 0.040, mAP 92.82%
[10/41] 11800), Loss: 0.042, mAP 93.64%
[10/41] 11900), Loss: 0.087, mAP 93.62%
[10/41] 12000), Loss: 0.059, mAP 95.49%
[11/41] 12100), Loss: 0.043, mAP 91.91%
[11/41] 12200), Loss: 0.030, mAP 93.44%
[11/41] 12300), Loss: 0.039, mAP 90.35%
[11/41] 12400), Loss: 0.039, mAP 93.42%
[11/41] 12500), Loss: 0.052, mAP 93.87%
[11/41] 12600), Loss: 0.064, mAP 91.32%
[11/41] 12700), Loss: 0.058, mAP 91.83%
[11/41] 12800), Loss: 0.032, mAP 91.16%
[11/41] 12900), Loss: 0.044, mAP 90.39%
[11/41] 13000), Loss: 0.047, mAP 91.41%
[11/41] 13100), Loss: 0.060, mAP 92.08%
[11/41] 13200), Loss: 0.121, mAP 92.45%
Saved: ../checkpoints/
TESTING: 13233), mAP 92.72%
[12/41] 13300), Loss: 0.046, mAP 92.72%
[12/41] 13400), Loss: 0.124, mAP 93.47%
[12/41] 13500), Loss: 0.089, mAP 93.47%
[12/41] 13600), Loss: 0.077, mAP 92.88%
[12/41] 13700), Loss: 0.086, mAP 92.14%
[12/41] 13800), Loss: 0.072, mAP 93.24%
[12/41] 13900), Loss: 0.082, mAP 91.49%
[12/41] 14000), Loss: 0.069, mAP 92.92%
[12/41] 14100), Loss: 0.055, mAP 91.72%
[12/41] 14200), Loss: 0.049, mAP 92.45%
[12/41] 14300), Loss: 0.085, mAP 92.18%
[12/41] 14400), Loss: 0.178, mAP 92.38%
[13/41] 14500), Loss: 0.069, mAP 93.00%
[13/41] 14600), Loss: 0.069, mAP 93.50%
[13/41] 14700), Loss: 0.091, mAP 92.92%
[13/41] 14800), Loss: 0.076, mAP 91.43%
[13/41] 14900), Loss: 0.025, mAP 93.32%
[13/41] 15000), Loss: 0.100, mAP 89.83%
[13/41] 15100), Loss: 0.062, mAP 91.80%
[13/41] 15200), Loss: 0.164, mAP 91.79%
[13/41] 15300), Loss: 0.044, mAP 92.94%
[13/41] 15400), Loss: 0.107, mAP 93.94%
[13/41] 15500), Loss: 0.075, mAP 90.80%
[13/41] 15600), Loss: 0.126, mAP 92.53%
[14/41] 15700), Loss: 0.036, mAP 92.35%
[14/41] 15800), Loss: 0.067, mAP 92.15%
[14/41] 15900), Loss: 0.049, mAP 94.71%
[14/41] 16000), Loss: 0.157, mAP 91.80%
[14/41] 16100), Loss: 0.064, mAP 93.77%
[14/41] 16200), Loss: 0.070, mAP 94.75%
[14/41] 16300), Loss: 0.080, mAP 92.66%
[14/41] 16400), Loss: 0.033, mAP 94.51%
[14/41] 16500), Loss: 0.121, mAP 92.39%
[14/41] 16600), Loss: 0.049, mAP 93.36%
[14/41] 16700), Loss: 0.057, mAP 95.19%
[14/41] 16800), Loss: 0.053, mAP 93.21%
[15/41] 16900), Loss: 0.079, mAP 91.46%
[15/41] 17000), Loss: 0.058, mAP 94.40%
[15/41] 17100), Loss: 0.090, mAP 91.21%
[15/41] 17200), Loss: 0.074, mAP 90.02%
[15/41] 17300), Loss: 0.052, mAP 92.60%
[15/41] 17400), Loss: 0.118, mAP 92.13%
