nohup: ignoring input
Using GPU 2
Start training, lr: 0.001000, batch-size: 10
Model: resnet101
Checkpoint Path: ../checkpoints/
Time: 190514_1531
Training from past model: /home/tsinghuaee13/checkpoints/resnet101_190513_1753_036.pth
[10/41] 11200), Loss: 0.061, mAP 93.58%
[10/41] 11300), Loss: 0.030, mAP 95.57%
[10/41] 11400), Loss: 0.026, mAP 94.51%
[10/41] 11500), Loss: 0.081, mAP 94.86%
[10/41] 11600), Loss: 0.096, mAP 91.79%
[10/41] 11700), Loss: 0.079, mAP 95.29%
[10/41] 11800), Loss: 0.076, mAP 95.62%
[10/41] 11900), Loss: 0.034, mAP 95.69%
[10/41] 12000), Loss: 0.031, mAP 94.43%
[11/41] 12100), Loss: 0.023, mAP 94.89%
[11/41] 12200), Loss: 0.084, mAP 95.31%
[11/41] 12300), Loss: 0.054, mAP 93.27%
[11/41] 12400), Loss: 0.112, mAP 94.21%
[11/41] 12500), Loss: 0.078, mAP 94.04%
[11/41] 12600), Loss: 0.079, mAP 94.29%
[11/41] 12700), Loss: 0.028, mAP 95.56%
[11/41] 12800), Loss: 0.103, mAP 93.84%
[11/41] 12900), Loss: 0.045, mAP 94.83%
[11/41] 13000), Loss: 0.078, mAP 94.66%
[11/41] 13100), Loss: 0.043, mAP 91.56%
[11/41] 13200), Loss: 0.050, mAP 93.45%
Saved: ../checkpoints/
TESTING: 13233), mAP 94.16%
[12/41] 13300), Loss: 0.070, mAP 93.38%
[12/41] 13400), Loss: 0.046, mAP 94.70%
[12/41] 13500), Loss: 0.046, mAP 94.10%
[12/41] 13600), Loss: 0.052, mAP 95.19%
[12/41] 13700), Loss: 0.063, mAP 94.42%
[12/41] 13800), Loss: 0.077, mAP 94.25%
[12/41] 13900), Loss: 0.067, mAP 93.49%
[12/41] 14000), Loss: 0.033, mAP 94.62%
[12/41] 14100), Loss: 0.097, mAP 93.53%
[12/41] 14200), Loss: 0.089, mAP 94.54%
[12/41] 14300), Loss: 0.039, mAP 95.35%
[12/41] 14400), Loss: 0.031, mAP 95.11%
[13/41] 14500), Loss: 0.021, mAP 96.44%
[13/41] 14600), Loss: 0.031, mAP 94.13%
[13/41] 14700), Loss: 0.105, mAP 97.17%
[13/41] 14800), Loss: 0.030, mAP 92.62%
[13/41] 14900), Loss: 0.049, mAP 94.91%
[13/41] 15000), Loss: 0.054, mAP 94.80%
[13/41] 15100), Loss: 0.062, mAP 95.25%
[13/41] 15200), Loss: 0.064, mAP 96.16%
[13/41] 15300), Loss: 0.057, mAP 94.40%
[13/41] 15400), Loss: 0.054, mAP 94.82%
[13/41] 15500), Loss: 0.024, mAP 94.44%
[13/41] 15600), Loss: 0.058, mAP 94.36%
[14/41] 15700), Loss: 0.038, mAP 96.76%
[14/41] 15800), Loss: 0.054, mAP 94.76%
[14/41] 15900), Loss: 0.057, mAP 95.10%
[14/41] 16000), Loss: 0.039, mAP 93.56%
[14/41] 16100), Loss: 0.025, mAP 93.83%
[14/41] 16200), Loss: 0.038, mAP 93.28%
[14/41] 16300), Loss: 0.037, mAP 95.94%
[14/41] 16400), Loss: 0.048, mAP 95.09%
[14/41] 16500), Loss: 0.029, mAP 94.42%
[14/41] 16600), Loss: 0.063, mAP 95.01%
[14/41] 16700), Loss: 0.069, mAP 94.01%
[14/41] 16800), Loss: 0.022, mAP 94.69%
[15/41] 16900), Loss: 0.027, mAP 95.46%
[15/41] 17000), Loss: 0.011, mAP 93.00%
[15/41] 17100), Loss: 0.036, mAP 94.46%
[15/41] 17200), Loss: 0.057, mAP 95.40%
[15/41] 17300), Loss: 0.050, mAP 93.69%
[15/41] 17400), Loss: 0.062, mAP 95.04%
[15/41] 17500), Loss: 0.060, mAP 95.09%
[15/41] 17600), Loss: 0.032, mAP 97.02%
[15/41] 17700), Loss: 0.052, mAP 96.81%
[15/41] 17800), Loss: 0.054, mAP 93.21%
[15/41] 17900), Loss: 0.042, mAP 94.27%
[15/41] 18000), Loss: 0.019, mAP 93.12%
[16/41] 18100), Loss: 0.080, mAP 95.56%
[16/41] 18200), Loss: 0.044, mAP 93.67%
[16/41] 18300), Loss: 0.038, mAP 94.61%
[16/41] 18400), Loss: 0.070, mAP 93.17%
[16/41] 18500), Loss: 0.074, mAP 94.16%
[16/41] 18600), Loss: 0.021, mAP 95.28%
[16/41] 18700), Loss: 0.107, mAP 94.24%
[16/41] 18800), Loss: 0.030, mAP 95.65%
[16/41] 18900), Loss: 0.054, mAP 94.98%
[16/41] 19000), Loss: 0.069, mAP 92.80%
[16/41] 19100), Loss: 0.034, mAP 94.39%
[16/41] 19200), Loss: 0.066, mAP 96.82%
Saved: ../checkpoints/
TESTING: 19248), mAP 94.08%
[17/41] 19300), Loss: 0.078, mAP 94.06%
[17/41] 19400), Loss: 0.045, mAP 96.49%
[17/41] 19500), Loss: 0.012, mAP 95.60%
[17/41] 19600), Loss: 0.025, mAP 96.42%
[17/41] 19700), Loss: 0.065, mAP 94.96%
[17/41] 19800), Loss: 0.069, mAP 95.40%
[17/41] 19900), Loss: 0.039, mAP 95.42%
[17/41] 20000), Loss: 0.060, mAP 93.84%
[17/41] 20100), Loss: 0.056, mAP 94.47%
[17/41] 20200), Loss: 0.064, mAP 92.73%
[17/41] 20300), Loss: 0.038, mAP 96.80%
[17/41] 20400), Loss: 0.032, mAP 95.62%
[18/41] 20500), Loss: 0.106, mAP 96.23%
[18/41] 20600), Loss: 0.049, mAP 94.85%
[18/41] 20700), Loss: 0.040, mAP 95.11%
[18/41] 20800), Loss: 0.019, mAP 94.99%
[18/41] 20900), Loss: 0.060, mAP 96.67%
[18/41] 21000), Loss: 0.100, mAP 96.83%
[18/41] 21100), Loss: 0.071, mAP 95.50%
[18/41] 21200), Loss: 0.062, mAP 94.59%
[18/41] 21300), Loss: 0.037, mAP 95.64%
[18/41] 21400), Loss: 0.048, mAP 93.26%
[18/41] 21500), Loss: 0.043, mAP 95.84%
[18/41] 21600), Loss: 0.077, mAP 94.86%
[19/41] 21700), Loss: 0.090, mAP 95.55%
[19/41] 21800), Loss: 0.028, mAP 95.58%
[19/41] 21900), Loss: 0.016, mAP 94.05%
[19/41] 22000), Loss: 0.022, mAP 94.58%
[19/41] 22100), Loss: 0.089, mAP 94.28%
[19/41] 22200), Loss: 0.084, mAP 94.78%
[19/41] 22300), Loss: 0.081, mAP 96.38%
[19/41] 22400), Loss: 0.077, mAP 95.43%
[19/41] 22500), Loss: 0.051, mAP 96.56%
[19/41] 22600), Loss: 0.063, mAP 94.44%
[19/41] 22700), Loss: 0.050, mAP 96.47%
[19/41] 22800), Loss: 0.052, mAP 94.20%
[20/41] 22900), Loss: 0.039, mAP 94.64%
[20/41] 23000), Loss: 0.071, mAP 94.68%
[20/41] 23100), Loss: 0.077, mAP 95.02%
[20/41] 23200), Loss: 0.014, mAP 94.38%
[20/41] 23300), Loss: 0.077, mAP 94.17%
[20/41] 23400), Loss: 0.048, mAP 95.40%
[20/41] 23500), Loss: 0.050, mAP 95.38%
[20/41] 23600), Loss: 0.103, mAP 94.48%
[20/41] 23700), Loss: 0.028, mAP 94.71%
[20/41] 23800), Loss: 0.063, mAP 94.27%
[20/41] 23900), Loss: 0.060, mAP 95.78%
[20/41] 24000), Loss: 0.114, mAP 95.40%
[21/41] 24100), Loss: 0.040, mAP 94.36%
[21/41] 24200), Loss: 0.063, mAP 94.34%
[21/41] 24300), Loss: 0.097, mAP 96.62%
[21/41] 24400), Loss: 0.053, mAP 95.20%
[21/41] 24500), Loss: 0.037, mAP 96.19%
[21/41] 24600), Loss: 0.047, mAP 93.19%
[21/41] 24700), Loss: 0.082, mAP 93.67%
[21/41] 24800), Loss: 0.037, mAP 94.37%
[21/41] 24900), Loss: 0.039, mAP 95.99%
[21/41] 25000), Loss: 0.039, mAP 95.90%
[21/41] 25100), Loss: 0.028, mAP 94.35%
[21/41] 25200), Loss: 0.026, mAP 96.82%
Saved: ../checkpoints/
TESTING: 25263), mAP 94.10%
[22/41] 25300), Loss: 0.030, mAP 94.55%
[22/41] 25400), Loss: 0.084, mAP 96.15%
[22/41] 25500), Loss: 0.054, mAP 94.61%
[22/41] 25600), Loss: 0.075, mAP 95.44%
[22/41] 25700), Loss: 0.044, mAP 97.32%
[22/41] 25800), Loss: 0.019, mAP 95.13%
[22/41] 25900), Loss: 0.064, mAP 94.62%
[22/41] 26000), Loss: 0.045, mAP 96.97%
[22/41] 26100), Loss: 0.024, mAP 94.45%
[22/41] 26200), Loss: 0.017, mAP 95.77%
[22/41] 26300), Loss: 0.042, mAP 95.54%
[22/41] 26400), Loss: 0.024, mAP 95.54%
[23/41] 26500), Loss: 0.068, mAP 96.91%
[23/41] 26600), Loss: 0.074, mAP 94.78%
[23/41] 26700), Loss: 0.035, mAP 96.49%
[23/41] 26800), Loss: 0.026, mAP 94.65%
[23/41] 26900), Loss: 0.059, mAP 94.41%
[23/41] 27000), Loss: 0.148, mAP 93.93%
[23/41] 27100), Loss: 0.015, mAP 96.19%
[23/41] 27200), Loss: 0.074, mAP 95.10%
[23/41] 27300), Loss: 0.036, mAP 95.74%
[23/41] 27400), Loss: 0.029, mAP 95.41%
[23/41] 27500), Loss: 0.078, mAP 96.23%
[23/41] 27600), Loss: 0.087, mAP 96.12%
[24/41] 27700), Loss: 0.064, mAP 94.26%
[24/41] 27800), Loss: 0.030, mAP 95.30%
[24/41] 27900), Loss: 0.017, mAP 95.54%
[24/41] 28000), Loss: 0.051, mAP 93.82%
[24/41] 28100), Loss: 0.028, mAP 95.19%
[24/41] 28200), Loss: 0.020, mAP 95.65%
[24/41] 28300), Loss: 0.049, mAP 96.02%
[24/41] 28400), Loss: 0.096, mAP 95.94%
[24/41] 28500), Loss: 0.043, mAP 95.76%
[24/41] 28600), Loss: 0.134, mAP 93.55%
[24/41] 28700), Loss: 0.023, mAP 95.91%
[24/41] 28800), Loss: 0.043, mAP 93.86%
[25/41] 28900), Loss: 0.053, mAP 96.30%
[25/41] 29000), Loss: 0.037, mAP 96.53%
[25/41] 29100), Loss: 0.040, mAP 96.56%
